Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
7/12/18,Student loan,Federal student loan servicing,Incorrect information on your report,Account status incorrect,,,AES/PHEAA,CA,958XX,Servicemember,Consent not provided,Web,7/12/18,Closed with explanation,Yes,N/A,2961219
1/29/13,Student loan,Non-federal student loan,Repaying your loan,,,,ACS Education Services,IL,60005,Servicemember,N/A,Web,3/11/13,Closed with explanation,Yes,Yes,271994
4/14/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"I am a student loan co-signer. I have made on-time payments to XXXX ( XXXX XXXX XXXX ) for my son 's defaulted XXXX XXXX/Navient private student loan since 2011 when I became aware of the default status. 
I requested that my credit report reflect that my debt is in collections and being paid monthly. XXXX XXXX refused to update my credit report and reports it as a Charge off with {$0.00} payment every month. This negatively impacts my ability to obtain basic credit worthiness for example for renting an apartment. How can I get XXXX XXXX or the collection agency to report accurate information on my credit report?",,"Navient Solutions, LLC.",PA,191XX,Servicemember,Consent provided,Web,4/14/15,Closed with explanation,Yes,Yes,1329767
11/12/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,DISCOVER BANK,CA,92562,Servicemember,N/A,Phone,11/13/14,Closed with explanation,Yes,No,1113865
3/18/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"I just read an article in XXXX about Navient telling customers their only option is forbearance instead of an income based repayment plan. That is exactly what happened to me. For OVER three years, I was told there was only a forbearance option for my loans. That is over three years of interest that was needlessly incurred without any debt reduction. I am furious that I was not told about any other payment plans. I was told I could pay a high monthly amount or go into forbearance. I chose forbearance, because my XXXX XXXX husband and I could not afford the high monthly rate on his income. I was unable to work due to our continuous military moves, our baby, and his XXXX. I am now in XXXX school and when all is said and done, will owe over {$120000.00} in student loan debt. That means, I will have to use my ENTIRE salary to pay an astronomical payment just to pay off these loans that were supposed to help our family improve our quality of life. I will have to work for 5+ years just to pay back all of this debt, some of which was unnecessarily incurred due to Navient 's blatant lie about one high repayment option or forbearance.",,"Navient Solutions, LLC.",TX,782XX,Servicemember,Consent provided,Web,3/18/17,Closed with explanation,Yes,No,2393458
4/5/12,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",FL,34761,Servicemember,N/A,Web,4/5/12,Closed with monetary relief,Yes,No,44220
7/15/18,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"I would first like to say I have never once defaulted on my student loans nor can I recall making a late payment ( not saying it hasn't happened, I am just unable to recall at the time of composing this letter. ) I have struggled with Navient and their unfair business practices for quite some time. Their representatives have always taken on a more aggressive tone when I've outreached the company over the years of my loans being in repayment ( since XX/XX/2010 ). 
I have always needed some type of program assistance in repaying my loans. The only assistance offered over the years has been a forbearance period ( where interest continues to accrue while not being obligated to pay ) and an interest rate reduction program. While struggling to repay loans each month, i've always made due, especially when single and without the responsibility of maintaining a household. 
While I continue to submit my financial status on a yearly basis, lately I have grown more frustrated as it appears that Navient continues to provide a monthly repayment amount that is not conducive to my situation. What is the point in disclosing all your financial obligations to a company just for them to provide you with a figure that THEY feel is reasonable?? I am not only repaying repaying Navient for my private loans but also repaying my federal loans through a different servicer as well. Several weeks ago, I phoned Navient ( as i often do ) in effort to discuss the figure they provided following the submission of my financial status documentation, due annually. I was provided with $ XXXX/mnth. I  explained to the representative if there was any way I would be able to qualify for a lower payment as it would be a great hardship in trying to make that payment each month. The representative ( in which I regret not taking his name ) stated that there was no other lower payment options available to me. I advised the representative that it wasn't the fact that i didn't want to pay, it was more of not having the funds to pay that given figure. The representative callously informed me that if i wasn't able to pay then i would simply default on my loans ( which I am aware of ) and have them sent to collections to be dealt with. I was really taken aback by the representatives remarks as that isn't the goal of anyone who cares remotely about their credit. I am maintaining a household in which I am also the "" breadwinner ''. On top of weekly daycare expenses, mortgage, car payments, utilities, groceries, medical bills, and monthly federal loans expenses, i am drowning and wish there was more that could be done in lowering my payments with Navient. It has been so frustrating with dealing with Navient regarding a plan that works for me, not just a plan that they come up with that they simply advise "" it's as low as you can go. '' In closing, this complaint is more two fold, as one sees, I am not only having issues lowering my monthly payments but also having revolving issues with the lender/servicer ( Navient ) as well.",,"Navient Solutions, LLC.",DE,197XX,Servicemember,Consent provided,Web,7/15/18,Closed with explanation,Yes,N/A,2963484
5/31/13,Student loan,Non-federal student loan,Repaying your loan,,,,MOHELA,VA,22203,Servicemember,N/A,Web,5/31/13,Closed with explanation,Yes,No,420860
1/23/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Need information about my balance/terms,,,"Navient Solutions, LLC.",KY,41048,Servicemember,Other,Web,1/25/17,Closed with explanation,Yes,Yes,2303738
12/10/13,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,JPMORGAN CHASE & CO.,IN,46322,Servicemember,N/A,Web,12/10/13,Closed with explanation,Yes,No,628754
4/28/17,Student loan,Federal student loan servicing,Incorrect information on your report,Information is missing that should be on the report,,,"Navient Solutions, LLC.",CA,92562,Servicemember,Consent not provided,Web,4/28/17,Closed with explanation,Yes,N/A,2470387
9/6/18,Student loan,Federal student loan servicing,Incorrect information on your report,Account status incorrect,,,"NELNET, INC.",TX,79913,Servicemember,N/A,Referral,9/6/18,Closed with explanation,Yes,N/A,3011990
4/27/17,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem lowering your monthly payments,,,AES/PHEAA,AE,9494,Servicemember,Consent not provided,Web,4/27/17,Closed with non-monetary relief,Yes,N/A,2469017
7/25/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Problem with customer service,,,"Navient Solutions, LLC.",AZ,85741,Servicemember,Consent not provided,Web,7/25/18,Closed with explanation,Yes,N/A,2972502
4/25/17,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,,,DISCOVER BANK,IN,468XX,Servicemember,Consent not provided,Web,5/23/17,Closed with non-monetary relief,Yes,N/A,2466203
6/30/16,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Having problems with customer service,,,AES/PHEAA,LA,70057,Servicemember,N/A,Phone,6/30/16,Closed with explanation,Yes,No,1993550
5/5/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",TX,79932,Servicemember,Consent not provided,Web,5/5/17,Closed with monetary relief,Yes,N/A,2477065
7/26/18,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,,,"Navient Solutions, LLC.",MA,1702,Servicemember,Consent not provided,Web,7/26/18,Closed with explanation,Yes,N/A,2974614
7/27/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,"Navient Solutions, LLC.",PA,17601,Servicemember,Consent not provided,Web,7/27/18,Closed with non-monetary relief,Yes,N/A,2975217
8/25/17,Student loan,Private student loan,Dealing with your lender or servicer,Don't agree with the fees charged,"This complaint is about American Education Services ( AES ) regarding a government payment made to AES which was incorrectly dispersed to the wrong loan sequences in XXXX. AESs actions negatively influenced future payment decisions due to that error which was not discovered by the borrower or rectified by AES until XXXX. This mistake has left the borrower with a significant amount of interest which accrued on an incorrect balance during the borrowers time on XXXX XXXX in the military. 
During the time period of the borrowers military service, 5 private loans and 3 federal loans were in deferment or forbearance, respectively, and were accruing interest on the total balance as payments were made. The borrower was aware that interest would be accruing and that the borrower would have to pay the interest, or allow it to capitalize. The borrower believed that each consecutive year, the borrowers loans would be accruing on a balance significantly less that the year prior, due to the borrowers enrollment into the Student Loan Repayment Program. 
At the time of the borrowers entrance into the military, the borrower was offered and had accepted the Student Loan Repayment Program ( SLRP ). This program permits the government to pay 1/3 of the original principle balance every year for 3 consecutive years during military service to equal the entire principle balance. The SLRP applications are to be filled out for each loan by the borrower, the lender, and the XXXX ( Human Resources Command ) and then government payments for the school loans will commence. The borrower filled out all required paperwork and sent it to AES to fill out its respective section. Then AES sent the applications to the Human Resources Command ( HRC ) as per the instructions. The borrower filled out 8 total applications, 5 private/ 3 federal and sent them to AES . AES then sent over applications to HRC. HRC processed the applications that AES sent and initiated government payment of the loans. 
InXX/XX/XXXX, the borrower discovered that AES dispersed the first government payment inXX/XX/XXXX to all 8 loans, but in XXXX and XXXX AES only disbursed the 2nd and 3rd iteration of the government payment to the 3 federal loans. 
After realizing AESs mistake, the borrower notified AES of the issue and attempted to get an explanation. The borrower then realized that the government payments should have been significantly more than what was actually made during XXXX, XXXX, andXX/XX/XXXX. AES told the borrower that the 5 private loan applications were denied due to a date discrepancy and were not passed on to HRC to for processing. HRC confirmed that they only received 3 federal SLRP applications. 
After further investigation, on XX/XX/XXXX an AES agent ( XXXX : ID # XXXX ) told the borrower that AES sent written notification that the 5 private loan applications were denied and had sent letters of denial to the borrower and HRC via regular mail on XX/XX/XXXX. HRC confirmed with the borrower that it did not receive a letter ( see attached ). The borrower did not receive a letter in the mail at that time. By accepting the first government payment and disbursing to ALL 8 loans onXX/XX/XXXX, AES implied that the paperwork for all loans was filled out and processed completely. 
Until this new information was discovered by the borrower, neither the borrower nor HRC had any reason to believe there had been any issue because neither party received the letter of denial in the regular mail. From XX/XX/XXXX-XX/XX/XXXX, only AES was aware that the private loan applications were denied, which meant that the borrower was still accruing interest on a much higher balance than it should have been. No further attempt to contact HRC or the borrower occurred, even as the borrower regularly contacted AES to confirm loan payments during that time period. 
Since the discovery of the disbursement mistake, the borrower is no longer XXXX XXXX military but corrected paperwork for those 5 private loans have been completed, government payments have been made, and all loans are now in good standing under repayment status. 
AES refuses to back date this newly made government payment of {$24000.00} to the dates of XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX ( the payment should be divided into thirds [ {$8200.00} ] as the 3 government payments previously made to AES under the SLRP on the dates listed above ). These are the dates when the private loan payments should have been made along with the federal loan payments, if AES had not disbursed government funds incorrectly and AES had sent denial letters via certified mail. 
1. Borrower is requesting that AES back date the payment {$24000.00} by dividing it into thirds {$8200.00} ( to simulate 1 payment per year of service in XXXX, XXXX, and XXXX ), and apply a {$8200.00} payment to XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX. 
2. Borrower is requesting AES correct the accrued interest on the new balance of the loans after each backdated payment is applied. 
3. Borrower is requesting a policy change that requires any loan application notification or any significant loan repayment issue be sent to military members directly via certified mail and require receipt confirmation from service members to ensure service members are fully aware of potential loan issues while serving on XXXX XXXX.",,AES/PHEAA,MD,,Servicemember,Consent provided,Web,8/25/17,Closed with monetary relief,Yes,N/A,2651089
1/2/18,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,"I have had many issues with Navient during the repayment of my student loans. The phone numbers that they provide in their mailings are often inaccurate. When I call, I frequently get transferred around from department to department. It is not unusual to spend over an hour trying to get to a live person who can help answer account questions. Many of their customer service agents simply hang up on me when I start asking questions. When I email, I get a reply saying to call. 

I have two private loans currently serviced by Navient. I believe that Navient has not appropriately applied the interest rate that I qualified for under the interest rate reduction plan. I have to apply annually for the interest rate reduction plan, and I have qualified for this plan every year since I graduated. 

I also believe that Navient has not appropriately applied my payments to my account. I have to private loans and 8 federal student loans. Payments get applied to the wrong student loans. Navient does not provide a clear way to view how my payments are being applied and does not apply my payments to the correct loans.",,"Navient Solutions, LLC.",OR,972XX,Servicemember,Consent provided,Web,1/2/18,Closed with explanation,Yes,N/A,2769377
8/31/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",GA,31605,Servicemember,N/A,Referral,8/31/18,Closed with explanation,Yes,N/A,3007758
